0,1,0.65,0.17,0.791,0.711,0.517,0.172,0.136,0.247,0.292,0.64,0.2,0.768
0,0.14,0.68,0.17,0.768,0.686,0.505,0.233,0.108,0.344,0.247931034,0.65,0.3,0.748
0,0.29,0.71,0.17,0.748,0.705,0.501,0.372,0.167,0.581,0.268413793,0.051,0.2,0.749
0,0.43,0.74,0.17,0.749,0.702,0.501,0.386,0.333,0.456,0.366724138,0.81,0.175,0.755
0,0.57,0.77,0.17,0.755,0.721,0.502,0.186,0.083,0.297,0.426034483,0.69,0.338,0.775
0,0.71,0.81,0.17,0.775,0.723,0.522,0.147,0.044,0.325,0.328137931,0.56,0.462,0.779
0,0.86,0.84,0.17,0.779,0.741,0.509,0.136,0.108,0.253,0.254965517,0.95,0.3,0.798
0,1,0.87,0.17,0.798,0.708,0.516,0.192,0.092,0.325,0.21,0.62,0.388,0.76
0,0.14,0.9,0.17,0.76,0.69,0.499,0.25,0.181,0.353,0.220344828,0.86,0.775,0.74
0,0.29,0.94,0.17,0.74,0.715,0.49,0.303,0.233,0.442,0.26262069,0.96,0.775,0.765
0,0.43,0.03,0.25,0.765,0.712,0.497,0.242,0.156,0.389,0.321586207,0.65,0.288,0.753
0,0.57,0.07,0.25,0.753,0.721,0.507,0.167,0.097,0.292,0.312689655,0.55,0.25,0.764
0,0.71,0.1,0.25,0.764,0.73,0.516,0.256,0.106,0.414,0.260413793,0.68,0.525,0.775
0,0.86,0.13,0.25,0.775,0.743,0.514,0.153,0.122,0.231,0.290103448,1,0.538,0.798
1,1,0.16,0.25,0.798,0.679,0.52,0.275,0.103,0.428,0.237931034,0.65,0.35,0.732
0,0.14,0.19,0.25,0.732,0.683,0.482,0.286,0.233,0.367,0.289103448,0.99,0.588,0.727
0,0.29,0.23,0.25,0.727,0.717,0.493,0.269,0.194,0.383,0.323034483,0.83,0.425,0.767
0,0.43,0.26,0.25,0.767,0.705,0.498,0.25,0.167,0.386,0.330827586,0.55,0.275,0.75
0,0.57,0.29,0.25,0.75,0.721,0.5,0.211,0.097,0.331,0.320482759,0.72,0.25,0.768
0,0.71,0.32,0.25,0.768,0.725,0.506,0.233,0.192,0.272,0.292448276,0.97,0.25,0.788
0,0.86,0.36,0.25,0.788,0.722,0.514,0.239,0.206,0.292,0.290206897,0.98,0.15,0.783
0,1,0.39,0.25,0.783,0.698,0.501,0.258,0.214,0.361,0.292448276,0.7,0.375,0.751
0,0.14,0.42,0.25,0.751,0.682,0.487,0.25,0.214,0.308,0.306344828,0.85,0.35,0.735
0,0.29,0.45,0.25,0.735,0.732,0.489,0.217,0.133,0.319,0.308344828,0.62,0.325,0.774
0,0.43,0.48,0.25,0.774,0.737,0.515,0.156,0.044,0.289,0.288758621,0.59,0.275,0.786
0,0.57,0.52,0.25,0.786,0.74,0.521,0.192,0.117,0.311,0.23937931,0.35,0.5,0.786
0,0.71,0.55,0.25,0.786,0.743,0.526,0.189,0.053,0.358,0.237724138,0.31,0.188,0.784
0,0.86,0.58,0.25,0.784,0.731,0.536,0.222,0.061,0.383,0.234689655,0.05,0.212,0.775
0,1,0.61,0.25,0.775,0.704,0.515,0.239,0.125,0.372,0.254724138,0.48,0.325,0.753
0,0.14,0.65,0.25,0.753,0.695,0.495,0.308,0.189,0.442,0.276068966,0.39,0.188,0.718
0,0.29,0.68,0.25,0.718,0.726,0.49,0.317,0.264,0.383,0.332482759,0.77,0.212,0.759
0,0.43,0.71,0.25,0.759,0.717,0.506,0.2,0.175,0.25,0.365310345,0.91,0.188,0.776
0,0.57,0.74,0.25,0.776,0.753,0.507,0.147,0.131,0.186,0.307,0.96,0.362,0.817
0,0.71,0.77,0.25,0.817,0.748,0.527,0.186,0.128,0.283,0.24337931,0.68,0.35,0.804
0,0.86,0.81,0.25,0.804,0.753,0.536,0.153,0.017,0.292,0.236137931,0.04,0.3,0.799
